date_COVID,state,positive,negative,pending,hospitalized,death,total,Most_Recent_Date,Data_asof
2020-05-18,AK,399,35212,,,10,35611,Most_Recent,2020-05-18
2020-05-18,AL,12086,145037,,1416,489,157123,Most_Recent,2020-05-18
2020-05-18,AR,4813,80426,,530,100,85239,Most_Recent,2020-05-18
2020-05-18,AS,0,105,,,0,105,Most_Recent,2020-05-18
2020-05-18,AZ,14170,142303,,1717,686,156473,Most_Recent,2020-05-18
2020-05-18,CA,80430,1212242,,,3302,1292672,Most_Recent,2020-05-18
2020-05-18,CO,21938,106557,,3872,1215,128495,Most_Recent,2020-05-18
2020-05-18,CT,38116,139563,,10946,3449,177679,Most_Recent,2020-05-18
2020-05-18,DC,7270,30555,,,392,37825,Most_Recent,2020-05-18
2020-05-18,DE,7869,34589,,,297,42458,Most_Recent,2020-05-18
2020-05-18,FL,46442,629970,1346,8553,2073,677758,Most_Recent,2020-05-18
2020-05-18,GA,38081,326208,,6916,1642,364289,Most_Recent,2020-05-18
2020-05-18,GU,154,4569,,,5,4723,Most_Recent,2020-05-18
2020-05-18,HI,640,41405,,82,17,42045,Most_Recent,2020-05-18
2020-05-18,IA,14955,88193,,,355,103148,Most_Recent,2020-05-18
2020-05-18,ID,2419,34253,,213,73,36672,Most_Recent,2020-05-18
2020-05-18,IL,96485,506756,,,4234,603241,Most_Recent,2020-05-18
2020-05-18,IN,28255,155657,,4389,1765,183912,Most_Recent,2020-05-18
2020-05-18,KS,8340,58650,,740,173,66990,Most_Recent,2020-05-18
2020-05-18,KY,7688,121997,,1896,334,129685,Most_Recent,2020-05-18
2020-05-18,LA,34709,235039,,,2563,269748,Most_Recent,2020-05-18
2020-05-18,MA,86010,374816,,8539,5797,460826,Most_Recent,2020-05-18
2020-05-18,MD,39762,161744,,7086,2023,201506,Most_Recent,2020-05-18
2020-05-18,ME,1713,22092,,223,71,23805,Most_Recent,2020-05-18
2020-05-18,MI,51915,358263,,,4915,410178,Most_Recent,2020-05-18
2020-05-18,MN,16372,140234,,2128,740,156606,Most_Recent,2020-05-18
2020-05-18,MO,10945,140393,,,605,151338,Most_Recent,2020-05-18
2020-05-18,MP,21,3399,,,2,3420,Most_Recent,2020-05-18
2020-05-18,MS,11432,104335,,1805,528,115767,Most_Recent,2020-05-18
2020-05-18,MT,470,27697,,64,16,28167,Most_Recent,2020-05-18
2020-05-18,NC,19023,236732,,,661,255755,Most_Recent,2020-05-18
2020-05-18,ND,1931,54630,,133,44,56561,Most_Recent,2020-05-18
2020-05-18,NE,10348,57153,,,123,67501,Most_Recent,2020-05-18
2020-05-18,NH,3596,41282,1481,359,172,46359,Most_Recent,2020-05-18
2020-05-18,NJ,148039,357530,,,10435,505569,Most_Recent,2020-05-18
2020-05-18,NM,5938,127315,,886,265,133253,Most_Recent,2020-05-18
2020-05-18,NV,6906,74926,,,350,81832,Most_Recent,2020-05-18
2020-05-18,NY,351371,1088186,,75870,22729,1439557,Most_Recent,2020-05-18
2020-05-18,OH,28454,243395,,4998,1657,271849,Most_Recent,2020-05-18
2020-05-18,OK,5398,118162,,885,288,123560,Most_Recent,2020-05-18
2020-05-18,OR,3687,93628,,708,138,97315,Most_Recent,2020-05-18
2020-05-18,PA,63056,277553,,,4505,340609,Most_Recent,2020-05-18
2020-05-18,PR,2710,,,,124,2710,Most_Recent,2020-05-18
2020-05-18,RI,12795,102589,,1438,506,115384,Most_Recent,2020-05-18
2020-05-18,SC,8942,122617,,1421,391,131559,Most_Recent,2020-05-18
2020-05-18,SD,4027,25018,,316,44,29045,Most_Recent,2020-05-18
2020-05-18,TN,18011,319417,,1489,301,337428,Most_Recent,2020-05-18
2020-05-18,TX,48693,674320,,,1347,723013,Most_Recent,2020-05-18
2020-05-18,UT,7384,166638,,595,80,174022,Most_Recent,2020-05-18
2020-05-18,VA,31140,165086,530,5609,1014,196756,Most_Recent,2020-05-18
2020-05-18,VI,69,1278,45,,6,1392,Most_Recent,2020-05-18
2020-05-18,VT,940,22885,,,54,23825,Most_Recent,2020-05-18
2020-05-18,WA,18433,266810,,,1001,285243,Most_Recent,2020-05-18
